Ticker,Company,Exchange,Industry,Env_Grade,Env_Level,Social_Grade,Social_Level,Gov_Grade,Gov_Level,Env_Score,Social_Score,Gov_Score,Total_Score,Date,Total_Grade,Total_Level,ESG_Category
dis,Walt Disney Co,"NEW YORK STOCK EXCHANGE, INC.",Media,A,High,BB,Medium,BB,Medium,510,316,321,1147,2022-04-19,BBB,High, Leader
gm,General Motors Co,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,A,High,BB,Medium,B,Medium,510,303,255,1068,2022-04-17,BBB,High, Average
gww,WW Grainger Inc,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,B,Medium,BB,Medium,B,Medium,255,385,240,880,2022-04-19,BB,Medium, Average
mhk,Mohawk Industries Inc,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,B,Medium,BB,Medium,570,298,303,1171,2022-04-18,BBB,High, Leader
lyv,Live Nation Entertainment Inc,"NEW YORK STOCK EXCHANGE, INC.",Media,BBB,High,BB,Medium,B,Medium,492,310,250,1052,2022-04-18,BBB,High, Average
lvs,Las Vegas Sands Corp,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,547,318,313,1178,2022-04-18,BBB,High, Leader
clx,Clorox Co,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,BB,Medium,BB,Medium,560,350,345,1255,2022-04-16,A,High, Leader
aacg,ATA Creativity Global,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,B,Medium,B,Medium,B,Medium,203,200,205,608,2022-07-01,B,Medium,Laggard
aal,American Airlines Group Inc,NASDAQ NMS - GLOBAL MARKET,Airlines,B,Medium,B,Medium,B,Medium,270,211,265,746,2022-04-16,B,Medium,Laggard
aame,Atlantic American Corp,NASDAQ NMS - GLOBAL MARKET,Insurance,B,Medium,B,Medium,BB,Medium,220,221,300,741,2022-04-16,B,Medium,Laggard
aaoi,Applied Optoelectronics Inc,NASDAQ NMS - GLOBAL MARKET,Communications,BB,Medium,B,Medium,B,Medium,311,256,218,785,2022-04-16,BB,Medium,Laggard
aaon,Aaon Inc,NASDAQ NMS - GLOBAL MARKET,Building,A,High,BB,Medium,B,Medium,500,300,223,1023,2022-04-16,BBB,High, Average
aapl,Apple Inc,NASDAQ NMS - GLOBAL MARKET,Technology,BB,Medium,B,Medium,B,Medium,355,281,255,891,2022-04-16,BB,Medium, Average
aatc,Autoscope Technologies Corp,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,BBB,High,B,Medium,B,Medium,410,286,240,936,2022-06-11,BBB,High, Average
aaww,Atlas Air Worldwide Holdings Inc,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,A,High,B,Medium,B,Medium,520,243,237,1000,2022-04-16,BBB,High, Average
aaci,Armada Acquisition Corp I,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,B,Medium,205,200,200,605,2022-06-20,B,Medium,Laggard
