Industry,Avg_Env_Score,Avg_Social_Score,Avg_Gov_Score,Avg_ESG_Score,Company_Count
Utilities,550.97,357.4,282.27,53.63,30
Tobacco,510.0,327.0,328.0,51.23,2
Packaging,536.25,323.0,296.75,51.03,4
Industrial Conglomerates,534.67,318.0,304.33,51.03,3
Energy,526.26,316.11,299.89,49.98,19
Food Products,516.57,311.29,303.21,49.11,14
Distributors,525.0,277.0,307.67,47.67,3
Aerospace and Defense,485.0,305.7,299.0,46.02,10
Construction,495.33,306.17,281.17,45.74,6
Building,476.7,305.1,292.4,44.93,10
Road and Rail,452.83,326.33,297.17,44.86,6
Beverages,473.25,299.5,288.25,44.02,4
Chemicals,463.74,304.37,290.79,43.78,19
Machinery,459.57,313.67,274.81,43.1,21
Professional Services,435.0,312.43,300.43,42.72,7
Semiconductors,448.46,296.71,285.42,41.74,24
Technology,438.11,307.9,285.3,41.71,63
Metals and Mining,450.89,299.11,278.33,41.65,9
Logistics and Transportation,452.33,289.5,283.33,41.41,6
Insurance,425.26,295.67,291.44,40.25,27
Real Estate,431.39,290.92,273.64,39.29,36
Commercial Services and Supplies,419.43,301.29,275.14,39.18,7
Life Sciences Tools and Services,421.38,294.5,277.25,38.99,16
Consumer products,384.9,285.7,274.95,35.43,20
Textiles Apparel and Luxury Goods,382.11,280.0,282.33,35.28,9
Communications,385.0,278.78,274.44,34.92,9
Health Care,374.53,287.43,276.8,34.86,51
Electrical Equipment,381.7,272.11,279.19,34.5,27
Media,346.91,313.0,275.35,34.41,23
Telecommunication,362.33,286.0,280.0,34.02,3
Retail,380.31,274.96,263.31,33.6,26
Hotels Restaurants and Leisure,374.64,283.05,261.18,33.59,22
Financial Services,367.64,276.45,265.24,32.85,33
Pharmaceuticals,360.05,269.67,273.95,32.34,21
Banking,341.48,292.34,264.48,31.88,29
Energy ,409.0,241.0,235.0,31.7,2
Trading Companies and Distributors,332.8,302.4,250.0,31.0,5
Automobiles,393.0,229.25,237.0,29.78,4
Biotechnology,306.54,268.86,291.52,29.26,56
Marine,305.33,285.0,275.0,29.25,3
Airlines,326.71,265.71,246.29,27.77,7
Auto Components,338.33,248.33,246.67,27.49,3
Leisure Products,252.33,259.33,268.33,22.97,3
"Hotels, Restaurants & Leisure",270.0,248.5,227.5,21.04,2
Diversified Consumer Services,286.0,233.33,220.0,20.75,3
Unknown,215.38,231.15,262.77,17.83,13
Aerospace & Defense,225.0,203.0,205.0,13.02,1
Metals & Mining,215.0,200.0,200.0,11.73,1
