Ticker,Company,Exchange,Industry,Env_Grade,Env_Level,Social_Grade,Social_Level,Gov_Grade,Gov_Level,Env_Score,Social_Score,Gov_Score,Total_Score,Date,Total_Grade,Total_Level,ESG_Category,Env_Norm,Social_Norm,Gov_Norm,Weighted_ESG_Score,ESG_Rank
dis,Walt Disney Co,"NEW YORK STOCK EXCHANGE, INC.",Media,A,High,BB,Medium,BB,Medium,510,316,321,1147,2022-04-19,BBB,High, Leader,59.73025048169557,30.76923076923077,61.5,50.04,178
gm,General Motors Co,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,A,High,BB,Medium,B,Medium,510,303,255,1068,2022-04-17,BBB,High, Average,59.73025048169557,28.205128205128204,45.0,45.01,338
gww,WW Grainger Inc,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,B,Medium,BB,Medium,B,Medium,255,385,240,880,2022-04-19,BB,Medium, Average,10.597302504816955,44.37869822485207,41.25,30.08,465
mhk,Mohawk Industries Inc,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,B,Medium,BB,Medium,570,298,303,1171,2022-04-18,BBB,High, Leader,71.29094412331408,27.218934911242602,56.99999999999999,52.29,120
lyv,Live Nation Entertainment Inc,"NEW YORK STOCK EXCHANGE, INC.",Media,BBB,High,BB,Medium,B,Medium,492,310,250,1052,2022-04-18,BBB,High, Average,56.26204238921002,29.585798816568047,43.75,43.8,354
lvs,Las Vegas Sands Corp,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,547,318,313,1178,2022-04-18,BBB,High, Leader,66.85934489402698,31.163708086785007,59.5,52.53,109
clx,Clorox Co,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,A,High,BB,Medium,BB,Medium,560,350,345,1255,2022-04-16,A,High, Leader,69.36416184971098,37.47534516765286,67.5,57.74,45
aacg,ATA Creativity Global,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,B,Medium,B,Medium,B,Medium,203,200,205,608,2022-07-01,B,Medium,Laggard,0.5780346820809248,7.889546351084813,32.5,11.12,707
aal,American Airlines Group Inc,NASDAQ NMS - GLOBAL MARKET,Airlines,B,Medium,B,Medium,B,Medium,270,211,265,746,2022-04-16,B,Medium,Laggard,13.48747591522158,10.059171597633137,47.5,20.79,557
aame,Atlantic American Corp,NASDAQ NMS - GLOBAL MARKET,Insurance,B,Medium,B,Medium,BB,Medium,220,221,300,741,2022-04-16,B,Medium,Laggard,3.8535645472061653,12.03155818540434,56.25,19.81,573
aaoi,Applied Optoelectronics Inc,NASDAQ NMS - GLOBAL MARKET,Communications,BB,Medium,B,Medium,B,Medium,311,256,218,785,2022-04-16,BB,Medium,Laggard,21.38728323699422,18.93491124260355,35.75,24.12,519
aaon,Aaon Inc,NASDAQ NMS - GLOBAL MARKET,Building,A,High,BB,Medium,B,Medium,500,300,223,1023,2022-04-16,BBB,High, Average,57.80346820809249,27.613412228796847,37.0,42.04,368
aapl,Apple Inc,NASDAQ NMS - GLOBAL MARKET,Technology,BB,Medium,B,Medium,B,Medium,355,281,255,891,2022-04-16,BB,Medium, Average,29.865125240847785,23.86587771203156,45.0,31.55,456
aatc,Autoscope Technologies Corp,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,BBB,High,B,Medium,B,Medium,410,286,240,936,2022-06-11,BBB,High, Average,40.46242774566474,24.85207100591716,41.25,35.2,423
aaww,Atlas Air Worldwide Holdings Inc,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,A,High,B,Medium,B,Medium,520,243,237,1000,2022-04-16,BBB,High, Average,61.657032755298644,16.370808678500985,40.5,40.52,383
aaci,Armada Acquisition Corp I,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,B,Medium,205,200,200,605,2022-06-20,B,Medium,Laggard,0.9633911368015413,7.889546351084813,31.25,10.96,711
aadi,Aadi Bioscience Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,200,201,203,604,2022-06-11,B,Medium,Laggard,0.0,8.086785009861932,32.0,10.83,712
abeo,Abeona Therapeutics Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,205,306,310,821,2022-04-16,BB,Medium, Average,0.9633911368015413,28.79684418145957,58.75,25.15,509
abnb,Airbnb Inc,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,A,High,A,High,BBB,High,505,570,400,1475,2022-06-10,A,High, Leader,58.76685934489403,80.86785009861933,81.25,72.12,4
abio,ARCA Biopharma Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,200,222,290,712,2022-04-16,B,Medium,Laggard,0.0,12.22879684418146,53.75,17.72,601
abmd,ABIOMED Inc,NASDAQ NMS - GLOBAL MARKET,Health Care,A,High,BB,Medium,BB,Medium,500,324,305,1129,2022-04-16,BBB,High, Leader,57.80346820809249,32.34714003944773,57.49999999999999,48.82,225
abos,Acumen Pharmaceuticals Inc,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,205,201,200,606,2022-06-11,B,Medium,Laggard,0.9633911368015413,8.086785009861932,31.25,11.03,710
absi,Absci Corp,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,B,Medium,B,Medium,B,Medium,205,224,230,659,2022-06-11,B,Medium,Laggard,0.9633911368015413,12.6232741617357,38.75,14.49,643
